Date,Hour,2006
2006-01-05,5,40.39143643401576
2006-01-05,6,45.77446234777511
2006-01-05,7,49.74276192083635
2006-01-05,8,55.19251457396214
2006-01-05,9,56.227340578853315
2006-01-05,10,55.625881314796764
2006-01-05,11,55.40066748991757
2006-01-05,12,57.801976569993215
2006-01-05,13,58.1244781661474
2006-01-05,14,55.630009547728704
2006-01-05,15,51.233788212791765
2006-01-05,16,51.43605708625232
2006-01-05,17,56.8088334966442
2006-01-05,18,58.65333345169131
2006-01-05,19,62.016076956492995
2006-01-05,20,57.92129183529528
2006-01-05,21,50.60812847971849
2006-01-05,22,51.39824685040168
2006-01-05,23,50.73962252189643
2006-01-06,0,49.30855344393849
2006-01-06,1,46.64041875192832
2006-01-06,2,44.06104524552113
2006-01-06,3,41.76534767106368
2006-01-06,4,39.97389184166756
2006-01-06,5,40.876118535862645
2006-01-06,6,46.3829427334715
2006-01-06,7,50.25393946102554
2006-01-06,8,55.596930182192224
2006-01-06,9,56.39884396117416
2006-01-06,10,55.954601489833756
2006-01-06,11,55.71743317930249
2006-01-06,12,58.10688092702493
2006-01-06,13,58.41650292858498
2006-01-06,14,55.91288208010187
2006-01-06,15,51.51634864272938
2006-01-06,16,51.33958280917625
2006-01-06,17,56.28531687561965
2006-01-06,18,58.066390339231596
2006-01-06,19,61.31029342959675
2006-01-06,20,57.09136228920842
2006-01-06,21,49.94751040779454
2006-01-06,22,50.64041759553892
2006-01-06,23,49.99473187229882
2006-01-07,0,48.02323823053912
2006-01-07,1,45.599658264434126
2006-01-07,2,43.28364204891279
2006-01-07,3,41.17842400739744
2006-01-07,4,39.50448056303746
2006-01-07,5,40.31711312239874
2006-01-07,6,45.656252722983325
2006-01-07,7,49.37151475322122
2006-01-07,8,54.709755873966145
2006-01-07,9,55.91706142865064
2006-01-07,10,55.550655812466786
2006-01-07,11,55.328218142607255
2006-01-07,12,57.73228748039303
2006-01-07,13,58.05778842815587
2006-01-07,14,55.56545977953776
2006-01-07,15,51.169337227782364
2006-01-07,16,51.256610145481794
2006-01-07,17,56.6410381853094
2006-01-07,18,58.52193779194986
2006-01-07,19,61.872482847228554
2006-01-07,20,57.72058014951057
2006-01-07,21,50.34950300823426
2006-01-07,22,51.08193249259618
2006-01-07,23,50.39074954573206
2006-01-08,0,48.16660671303278
2006-01-08,1,45.44285757846483
2006-01-08,2,42.864874622734106
2006-01-08,3,40.672240016432156
2006-01-08,4,38.99791324558116
2006-01-08,5,39.800419141366056
2006-01-08,6,45.11803496668524
2006-01-08,7,48.81954672263461
2006-01-08,8,54.01643300182876
2006-01-08,9,55.18903023962605
2006-01-08,10,55.027831353122224
2006-01-08,11,54.824489627109344
2006-01-08,12,57.24751888397115
2006-01-08,13,57.59360563456467
2006-01-08,14,55.11593968519186
2006-01-08,15,50.72042500111965
2006-01-08,16,50.506257233783735
2006-01-08,17,55.3050370206532
2006-01-08,18,57.00939122795721
