Date,Hour,
02-18,13,78.97424526
02-18,14,79.30740899
02-18,15,77.67976217
02-18,16,75.020808
02-18,17,71.88123764
02-18,18,77.87383964
02-18,19,84.18563546
02-18,20,85.57952392
02-18,21,83.79076772
02-18,22,80.2269081
02-18,23,79.20336686
02-19,0,77.89602452
02-19,1,74.56003231
02-19,2,69.62434456
02-19,3,68.04940742
02-19,4,67.33269093
02-19,5,68.39137133
02-19,6,72.30886425
02-19,7,77.22502143
02-19,8,80.68587844
02-19,9,82.87122288
02-19,10,83.28400102
02-19,11,84.00180666
02-19,12,84.75177245
02-19,13,87.10174385
02-19,14,87.26270139
02-19,15,85.25260891
02-19,16,82.47321605
02-19,17,81.41491077
02-19,18,89.3081198
02-19,19,94.57294421
02-19,20,92.74668244
02-19,21,89.06999695
02-19,22,85.19870173
02-19,23,83.68706685
02-20,0,82.69983788
02-20,1,79.32792535
02-20,2,74.36476913
02-20,3,72.75496816
02-20,4,71.77518821
02-20,5,71.66223259
02-20,6,74.43133204
02-20,7,79.06223969
02-20,8,82.22305645
02-20,9,84.10413473
02-20,10,84.36583627
02-20,11,85.20091116
02-20,12,85.28740767
02-20,13,87.33628235
02-20,14,87.41589095
02-20,15,85.47130021
02-20,16,82.77008686
02-20,17,81.66952238
02-20,18,89.46236585
02-20,19,94.84129006
02-20,20,93.35732773
02-20,21,90.00181208
02-20,22,86.3523776
02-20,23,84.74143363
02-21,0,82.44628274
02-21,1,78.97400464
02-21,2,74.14290838
02-21,3,72.52888149
02-21,4,71.43500173
02-21,5,71.63476411
02-21,6,74.14925195
02-21,7,78.72522266
02-21,8,81.85223207
02-21,9,83.75760937
02-21,10,84.04783587
02-21,11,85.01180129
02-21,12,84.77607148
02-21,13,86.73303243
02-21,14,87.32186426
02-21,15,85.2790209
02-21,16,82.54188723
02-21,17,81.48358195
02-21,18,89.20564127
02-21,19,94.47257863
02-21,20,93.04144029
02-21,21,89.86341323
02-21,22,86.12312149
02-21,23,84.35793148
02-22,0,82.24132567
02-22,1,78.87892146
02-22,2,73.77630991
02-22,3,72.14115343
02-22,4,70.81590461
02-22,5,71.10335481
02-22,6,73.58931769
02-22,7,78.11140793
02-22,8,81.2352479
02-22,9,83.17443256
02-22,10,83.50797473
02-22,11,84.55645852
02-22,12,84.30171208
02-22,13,85.98187534
02-22,14,86.38159729
02-22,15,84.30917251
02-22,16,81.77910887
02-22,17,80.88033202
02-22,18,88.64887645
02-22,19,93.83657783
02-22,20,92.38114045
02-22,21,89.25488091
02-22,22,85.51881509
02-22,23,83.55500688
02-23,0,81.66237478
02-23,1,78.31159184
02-23,2,73.35688746
02-23,3,71.68898011
02-23,4,70.66271505
02-23,5,70.6448426
02-23,6,72.94380857
02-23,7,77.2789019
02-23,8,80.37316044
02-23,9,82.34192653
02-23,10,82.71455845
02-23,11,84.2289498
02-23,12,83.36144512
02-23,13,84.84087722
02-23,14,85.03352915
02-23,15,82.73290474
02-23,16,80.23242253
02-23,17,79.63791185
02-23,18,86.90462841
02-23,19,92.43991162
02-23,20,91.79268124
02-23,21,89.17036253
02-23,22,85.67940001
02-23,23,82.98133839
02-24,0,77.63190459
02-24,1,73.65674213
02-24,2,68.35868184
02-24,3,66.57878763
02-24,4,65.67507422
02-24,5,65.8072219
02-24,6,66.26051777
02-24,7,67.48427828
02-24,8,70.36829735
02-24,9,72.71739615
02-24,10,73.9954312
02-24,11,76.08666049
02-24,12,78.69603061
02-24,13,80.29484492
02-24,14,80.50440053
02-24,15,78.18370301
02-24,16,75.41910086
02-24,17,72.45490614
02-24,18,77.83580637
02-24,19,83.31932207
02-24,20,84.34872503
02-24,21,82.71632783
02-24,22,79.79797732
02-24,23,78.79767864
02-25,0,74.86709712
02-25,1,70.92045962
02-25,2,65.78932312
02-25,3,63.90800686
02-25,4,62.94724355
02-25,5,62.67792892
02-25,6,62.04833307
02-25,7,62.46071714
02-25,8,65.06582556
02-25,9,68.11325747
02-25,10,70.42558617
02-25,11,72.98906191
02-25,12,75.79176782
02-25,13,77.07469469
02-25,14,77.57266927
02-25,15,76.04327506
02-25,16,73.19309806
02-25,17,70.31025228
02-25,18,75.60980357
02-25,19,82.96645784
02-25,20,84.7829382
02-25,21,83.01742455
02-25,22,79.47152509
02-25,23,78.60011693
02-26,0,77.30545235
02-26,1,73.83951313
02-26,2,68.89114762
02-26,3,67.21584491
02-26,4,66.52342745
02-26,5,67.39405446
02-26,6,71.07912184
02-26,7,75.58219545
02-26,8,78.87295921
02-26,9,81.27382552
02-26,10,81.68132127
02-26,11,82.66641627
02-26,12,83.4924486
02-26,13,85.47159562
02-26,14,85.90301197
02-26,15,84.13274039
02-26,16,81.41673632
02-26,17,79.78370606
02-26,18,87.06521333
02-26,19,93.74466409
02-26,20,92.09589092
02-26,21,88.39384992
02-26,22,84.46339183
02-26,23,82.98556431
02-27,0,81.95079374
02-27,1,78.24714658
02-27,2,73.19102014
02-27,3,71.36041491
02-27,4,70.21371116
02-27,5,70.23598494
02-27,6,73.0515695
02-27,7,77.27467598
02-27,8,80.18405056
02-27,9,82.19084993
02-27,10,82.51699674
02-27,11,83.43764648
02-27,12,84.02597087
02-27,13,86.09280571
02-27,14,86.29496596
02-27,15,84.3461493
02-27,16,81.77171351
02-27,17,80.59930841
02-27,18,87.74030388
02-27,19,93.9475082
02-27,20,92.23323329
02-27,21,88.87560468
02-27,22,85.01910017
02-27,23,83.54655505
02-28,0,81.4943945
02-28,1,77.9386545
02-28,2,72.90894005
02-28,3,71.4026741
02-28,4,70.44930614
02-28,5,70.37438379
02-28,6,73.11601477
02-28,7,77.25460287
02-28,8,80.10798402
02-28,9,82.01441781
02-28,10,82.39127565
02-28,11,83.60985268
02-28,12,83.79777125
02-28,13,85.62689814
02-28,14,85.89244718
02-28,15,84.05244793
02-28,16,81.41673632
02-28,17,80.0002844
02-28,18,87.22791121
02-28,19,93.44039793
02-28,20,91.79585068
02-28,21,88.41392304
02-28,22,84.60707307
02-28,23,82.97816895
03-01,0,81.45424827
03-01,1,77.79074734
03-01,2,72.55924526
03-01,3,70.6937762
03-01,4,70.01403649
03-01,5,70.28352653
03-01,6,72.83710412
03-01,7,76.89645624
03-01,8,79.69912637
03-01,9,81.59605184
03-01,10,81.99826519
03-01,11,82.94110101
03-01,12,82.57225475
03-01,13,84.32637159
03-01,14,84.90146919
03-01,15,82.92307109
03-01,16,80.36765194
03-01,17,79.2913865
03-01,18,86.795811
03-01,19,93.01780604
03-01,20,91.37008935
03-01,21,88.02725145
03-01,22,84.22251445
03-01,23,82.38442734
03-02,0,80.37980838
03-02,1,76.9011914
03-02,2,71.97395549
03-02,3,70.40852667
03-02,4,69.56397612
03-02,5,69.49222321
03-02,6,71.78907622
03-02,7,75.63713239
03-02,8,78.62574296
03-02,9,80.60190441
03-02,10,81.18054987
03-02,11,82.21529943
03-02,12,81.42069184
03-02,13,82.83462221
03-02,14,83.11496196
03-02,15,80.87455689
03-02,16,78.04339652
03-02,17,77.26083245
03-02,18,83.59573388
03-02,19,89.97620088
03-02,20,89.17155502
03-02,21,86.50169472
03-02,22,83.14384864
03-02,23,80.55354796
03-03,0,75.47562945
03-03,1,71.5575169
03-03,2,66.22353629
03-03,3,64.42039953
03-03,4,63.83891244
03-03,5,64.01543227
03-03,6,64.47506702
03-03,7,65.36181049
03-03,8,67.96691891
03-03,9,70.27375852
03-03,10,71.44825856
03-03,11,73.17605882
03-03,12,75.65442545
03-03,13,77.30923319
03-03,14,77.88961319
03-03,15,75.82141432
03-03,16,73.12970928
03-03,17,70.18558767
03-03,18,74.64735053
03-03,19,80.57775716
03-03,20,81.33564483
03-03,21,79.75924105
03-03,22,77.07225961
03-03,23,76.10154236
03-04,0,72.79639684
03-04,1,68.64902819
03-04,2,63.21890793
03-04,3,61.50874138
03-04,4,60.77406473
03-04,5,60.55123522
03-04,6,59.86670242
03-04,7,60.26746521
03-04,8,63.02259376
03-04,9,66.12284965
03-04,10,68.45842091
03-04,11,70.8623682
03-04,12,73.72951938
03-04,13,75.30826058
03-04,14,75.59282624
03-04,15,74.05286724
03-04,16,71.38334828
03-04,17,68.31667502
03-04,18,72.82069707
03-04,19,80.89258812
03-04,20,82.63722786
03-04,21,80.99426586
03-04,22,77.45681823
03-04,23,76.51673889
03-05,0,75.02768204
03-05,1,71.30924416
03-05,2,66.264739
03-05,3,64.76903784
03-05,4,64.09774998
03-05,5,65.11311471
03-05,6,69.28944517
03-05,7,73.57699691
03-05,8,76.74203959
03-05,9,78.90836739
03-05,10,79.50602949
03-05,11,79.98929663
03-05,12,80.83540207
03-05,13,82.77334638
03-05,14,83.14348691
03-05,15,81.30348766
03-05,16,78.82941745
03-05,17,77.62214852
03-05,18,85.15721093
03-05,19,92.51280872
03-05,20,90.63055353
03-05,21,86.92745605
03-05,22,82.95262581
03-05,23,81.43042614
03-06,0,79.44376733
03-06,1,75.9419078
03-06,2,70.99142933
03-06,3,69.20625273
03-06,4,68.15674512
03-06,5,68.29945759
03-06,6,71.47001934
03-06,7,75.64241479
03-06,8,78.47044043
03-06,9,80.10852837
03-06,10,80.07018967
03-06,11,80.54289201
03-06,12,81.0530369
03-06,13,83.16424388
03-06,14,83.54494921
03-06,15,81.77362114
03-06,16,79.01324492
03-06,17,77.8006936
03-06,18,85.23855987
03-06,19,91.90216344
03-06,20,90.00406105
03-06,21,86.60311677
03-06,22,82.93043974
03-06,23,81.39133639
03-07,0,79.45433213
03-07,1,75.95352908
03-07,2,70.77802043
03-07,3,69.06574092
03-07,4,68.12188129
03-07,5,68.31953071
03-07,6,71.54925532
03-07,7,75.6783351
03-07,8,78.440859
03-07,9,79.96590361
03-07,10,79.90009643
03-07,11,80.3347655
03-07,12,80.70017266
03-07,13,82.94238314
03-07,14,83.26603856
03-07,15,81.54436504
03-07,16,78.61178262
03-07,17,77.26611485
03-07,18,84.74835327
03-07,19,91.47957154
03-07,20,89.58358212
03-07,21,86.13192681
03-07,22,82.47826641
03-07,23,80.85253172
03-08,0,78.99581993
03-08,1,75.3164718
03-08,2,70.3258471
03-08,3,68.72238501
03-08,4,67.77324297
03-08,5,68.00892566
03-08,6,71.227029
03-08,7,75.33920511
03-08,8,78.08905125
03-08,9,79.57711907
03-08,10,79.58843491
03-08,11,80.07275853
03-08,12,79.99233124
03-08,13,81.9017506
03-08,14,82.2158977
03-08,15,80.41076229
03-08,16,77.80568858
03-08,17,76.58679838
03-08,18,84.01304337
03-08,19,90.61008872
03-08,20,88.78277048
03-08,21,85.3818262
03-08,22,81.78627218
03-08,23,80.16370694
03-09,0,78.03336689
03-09,1,74.56742767
03-09,2,69.49334107
03-09,3,67.93636409
03-09,4,66.94390638
03-09,5,66.95455889
03-09,6,69.81662856
03-09,7,74.10734974
03-09,8,76.97657809
03-09,9,78.27870547
03-09,10,78.16430023
03-09,11,79.00254456
03-09,12,78.12447507
03-09,13,79.5035416
03-09,14,79.47750223
03-09,15,77.50544302
03-09,16,74.42389695
03-09,17,73.59167833
03-09,18,80.08399524
03-09,19,87.10891488
03-09,20,86.01479357
03-09,21,83.09243461
03-09,22,79.7208543
03-09,23,77.46651417
03-10,0,72.39176511
03-10,1,68.37856938
03-10,2,63.09741276
03-10,3,61.34815646
03-10,4,60.67264268
03-10,5,61.04355477
03-10,6,61.85182784
03-10,7,63.48338953
03-10,8,66.40332891
03-10,9,68.49887257
03-10,10,69.24232887
03-10,11,70.54014188
03-10,12,73.25621645
03-10,13,74.6764857
03-10,14,75.01070591
03-10,15,72.98582271
03-10,16,69.56092073
03-10,17,66.77210165
03-10,18,71.77161269
03-10,19,78.71095747
03-10,20,79.23325016
03-10,21,77.39483941
03-10,22,74.6434127
03-10,23,73.91040339
03-11,0,69.9417886
03-11,1,65.90218088
03-11,2,60.72455927
03-11,3,59.04820008
03-11,4,58.22055321
03-11,5,58.0917504
03-11,6,57.27304467
03-11,7,57.89461173
03-11,8,60.55254414
03-11,9,63.03053346
03-11,10,65.02591825
03-11,11,67.74258354
03-11,12,71.14325699
03-11,13,72.41561906
03-11,14,72.81217158
03-11,15,71.38525591
03-11,16,68.20862667
03-11,17,65.22964123
03-11,18,69.91220836
03-11,19,77.87950792
03-11,20,79.33784165
03-11,21,77.43075972
03-11,22,73.85527882
03-11,23,73.21418324
03-12,0,71.53284708
03-12,1,68.02781811
03-12,2,62.95267503
03-12,3,61.48127291
03-12,4,60.91563302
03-12,5,62.18983529
03-12,6,66.61443848
03-12,7,70.96115309
03-12,8,73.65077989
03-12,9,75.15892082
03-12,10,75.23785137
03-12,11,75.4918624
03-12,12,76.37388815
03-12,13,78.42698875
03-12,14,78.92707629
03-12,15,77.21068517
03-12,16,74.09744472
03-12,17,73.06132551
03-12,18,80.06180917
03-12,19,87.13532688
03-12,20,85.1220682
03-12,21,81.59540283
03-12,22,77.61423371
03-12,23,76.29382167
03-13,0,74.5501532
03-13,1,71.2606461
03-13,2,66.19606782
03-13,3,64.67289819
03-13,4,63.7575635
03-13,5,63.82949183
03-13,6,67.02329614
03-13,7,71.38163202
03-13,8,74.03745147
03-13,9,75.44945274
03-13,10,75.60550631
03-13,11,76.09299937
03-13,12,77.02679263
03-13,13,79.11581354
03-13,14,79.53877805
03-13,15,77.65018074
03-13,16,74.33832209
03-13,17,72.85531196
03-13,18,79.57688497
03-13,19,86.68737947
03-13,20,85.15164963
03-13,21,81.83205429
03-13,22,78.08225423
03-13,23,76.745995
03-14,0,74.26490368
03-14,1,70.84544956
03-14,2,65.8062268
03-14,3,64.14465832
03-14,4,63.35081881
03-14,5,63.64777732
03-14,6,66.66831895
03-14,7,70.9706614
03-14,8,73.60640774
03-14,9,75.00784421
03-14,10,75.3192003
03-14,11,76.33070731
03-14,12,77.06693886
03-14,13,78.94255086
03-14,14,79.51342254
03-14,15,77.74737687
03-14,16,74.53377085
03-14,17,72.76656766
03-14,18,79.50398787
03-14,19,86.61976476
03-14,20,85.08720437
03-14,21,81.86691812
03-14,22,78.04316448
03-14,23,76.4903269
03-15,0,74.08424564
03-15,1,70.69226
03-15,2,65.44068481
03-15,3,63.87631247
03-15,4,62.94935651
03-15,5,63.11108561
03-15,6,66.25840481
03-15,7,70.52693992
03-15,8,73.21762319
03-15,9,74.70252157
03-15,10,74.98640919
03-15,11,75.72217498
03-15,12,76.17210052
03-15,13,78.02341349
03-15,14,78.62703604
03-15,15,76.80605343
03-15,16,73.78472671
03-15,17,72.46864038
03-15,18,79.01589423
03-15,19,86.20245527
03-15,20,84.63820048
03-15,21,81.39572816
03-15,22,77.66811418
03-15,23,75.9948379
03-16,0,73.84970714
03-16,1,70.22740892
03-16,2,65.14698344
03-16,3,63.54246487
03-16,4,62.44330271
03-16,5,62.59129759
03-16,6,65.47238389
03-16,7,69.62893214
03-16,8,72.11465835
03-16,9,73.62491224
03-16,10,73.97324512
03-16,11,75.19393511
03-16,12,74.83671014
03-16,13,76.37319215
03-16,14,76.84581121
03-16,15,74.71950596
03-16,16,71.2935475
03-16,17,70.47928904
03-16,18,76.0926148
03-16,19,83.20944818
03-16,20,82.47769942
03-16,21,80.01173971
03-16,22,76.54190678
03-16,23,74.1132475
03-17,0,69.01314291
03-17,1,65.02635918
03-17,2,59.64166755
03-17,3,57.88607237
03-17,4,57.11019301
03-17,5,57.35327106
03-17,6,58.06540447
03-17,7,59.3874176
03-17,8,62.07598791
03-17,9,64.12187703
03-17,10,65.39779912
03-17,11,67.71828451
03-17,12,70.64776799
03-17,13,72.12086122
03-17,14,72.36211122
03-17,15,70.22312821
03-17,16,67.00952218
03-17,17,64.09392552
03-17,18,68.57893093
03-17,19,74.81254725
03-17,20,75.57888675
03-17,21,74.05213752
03-17,22,71.39685047
03-17,23,70.62792085
03-18,0,66.5061165
03-18,1,62.4812995
03-18,2,57.26247518
03-18,3,55.49420225
03-18,4,54.60422308
03-18,5,54.30004463
03-18,6,53.53733233
03-18,7,53.98880615
03-18,8,56.70484494
03-18,9,59.19234259
03-18,10,61.68532933
03-18,11,64.8150782
03-18,12,68.15130638
03-18,13,69.57157562
03-18,14,70.10758346
03-18,15,68.63946508
03-18,16,65.62447724
03-18,17,62.74797034
03-18,18,66.6202175
03-18,19,74.27691203
03-18,20,76.00359161
03-18,21,74.24547332
03-18,22,70.76296263
03-18,23,69.85880361
03-19,0,68.23557383
03-19,1,64.5509433
03-19,2,59.45889655
03-19,3,57.91142789
03-19,4,57.37853887
03-19,5,58.70556512
03-19,6,63.17665343
03-19,7,67.51069027
03-19,8,70.40421766
03-19,9,72.04124912
03-19,10,72.40965512
03-19,11,72.89714817
03-19,12,74.55885597
03-19,13,76.90777089
03-19,14,77.38355939
03-19,15,75.88163366
03-19,16,72.71556922
03-19,17,71.30439971
03-19,18,77.71114176
03-19,19,85.08786915
03-19,20,83.33450449
03-19,21,79.60288205
03-19,22,75.74109514
03-19,23,74.4101183
03-20,0,72.65694152
03-20,1,69.09274968
03-20,2,64.05880932
03-20,3,62.39195844
03-20,4,61.4797932
03-20,5,61.43128284
03-20,6,64.90822371
03-20,7,69.12921723
03-20,8,71.64452487
03-20,9,73.04279191
03-20,10,73.38795535
03-20,11,73.9694751
03-20,12,74.8388231
03-20,13,76.66583704
03-20,14,77.07189787
03-20,15,75.44213809
03-20,16,72.13133593
03-20,17,70.82687087
03-20,18,77.04978544
03-20,19,84.35678517
03-20,20,83.10736134
03-20,21,79.89341398
03-20,22,76.19221199
03-20,23,74.92039801
03-21,0,72.23857554
03-21,1,68.79904831
03-21,2,63.61191839
03-21,3,61.94295455
03-21,4,61.01494211
03-21,5,61.27914976
03-21,6,64.59233627
03-21,7,68.81438627
03-21,8,71.36772718
03-21,9,72.76071182
03-21,10,73.08580215
03-21,11,73.75184027
03-21,12,74.53983933
03-21,13,76.62357785
03-21,14,77.07189787
03-21,15,75.50341392
03-21,16,72.20317655
03-21,17,70.6219138
03-21,18,77.01069569
03-21,19,84.2458548
03-21,20,83.04925496
03-21,21,79.78248361
03-21,22,75.93548741
03-21,23,74.68902895
03-22,0,72.12130629
03-22,1,68.61416436
03-22,2,63.57599808
03-22,3,61.72954565
03-22,4,60.82583224
03-22,5,61.13441203
03-22,6,64.31342562
03-22,7,68.54392745
03-22,8,71.07930821
03-22,9,72.50293076
03-22,10,72.9368385
03-22,11,73.6356275
03-22,12,74.04751978
03-22,13,75.99391592
03-22,14,76.59119959
03-22,15,74.6856986
03-22,16,71.57985351
03-22,17,70.51309639
03-22,18,76.86807093
03-22,19,84.0736486
03-22,20,82.7027296
03-22,21,79.41588514
03-22,22,75.76222474
03-22,23,74.25270282
03-23,0,71.95755194
03-23,1,68.58669589
03-23,2,63.2622236
03-23,3,61.61861528
03-23,4,60.5881243
03-23,5,60.73928861
03-23,6,63.64467395
03-23,7,67.82129532
03-23,8,70.68207183
03-23,9,72.39939575
03-23,10,73.30554993
03-23,11,74.32656525
03-23,12,73.77283505
03-23,13,75.39489191
03-23,14,75.78193612
03-23,15,73.9039036
03-23,16,70.76425115
03-23,17,70.22784686
03-23,18,75.74714593
03-23,19,82.66007872
03-23,20,81.90086149
03-23,21,79.11690137
03-23,22,75.72736091
03-23,23,73.10536583
03-24,0,68.42045778
03-24,1,64.26358081
03-24,2,58.81866983
03-24,3,57.1602708
03-24,4,56.43932838
03-24,5,56.66233332
03-24,6,57.3131909
03-24,7,58.84438701
03-24,8,61.72101072
03-24,9,64.06165768
03-24,10,65.20340685
03-24,11,67.46155993
03-24,12,70.33082407
03-24,13,71.83455521
03-24,14,72.03671546
03-24,15,70.16396534
03-24,16,67.0760804
03-24,17,64.23655028
03-24,18,68.31269804
03-24,19,74.71218168
03-24,20,75.85674092
03-24,21,74.20004469
03-24,22,71.52362804
03-24,23,70.7716021
03-25,0,66.72375133
03-25,1,62.76126663
03-25,2,58.10237657
03-25,3,56.78099457
03-25,4,55.09548616
03-25,5,54.38139357
03-25,6,53.6429803
03-25,7,54.16629475
03-25,8,56.63828672
03-25,9,59.26946561
03-25,10,61.28069759
03-25,11,63.30431218
03-25,12,66.29295852
03-25,13,67.97417826
03-25,14,69.33107086
03-25,15,67.95486621
03-25,16,65.48290896
03-25,17,62.91278118
03-25,18,64.69742439
03-25,19,70.10909947
03-25,20,74.37978226
03-25,21,73.28830268
03-25,22,70.11217112
03-25,23,69.50805233
03-26,0,67.59217767
03-26,1,63.98467016
03-26,2,58.80916151
03-26,3,57.2067559
03-26,4,56.58617907
03-26,5,57.84242118
03-26,6,62.5575563
03-26,7,67.27720825
03-26,8,70.53416467
03-26,9,72.65295088
03-26,10,72.78893134
03-26,11,72.50836363
03-26,12,72.98364468
03-26,13,74.9163066
03-26,14,75.92984328
03-26,15,74.7955725
03-26,16,72.35847907
03-26,17,70.57542869
03-26,18,74.65580237
03-26,19,80.63797651
03-26,20,81.39586417
03-26,21,78.58443559
03-26,22,74.67722005
03-26,23,73.49520685
03-27,0,71.46523238
03-27,1,67.86723319
03-27,2,62.66108663
03-27,3,60.79244812
03-27,4,59.58763799
03-27,5,59.76944021
03-27,6,63.39217529
03-27,7,67.60999937
03-27,8,70.62819137
03-27,9,72.57265842
03-27,10,72.75301103
03-27,11,72.75029749
03-27,12,72.98470116
03-27,13,74.93954915
03-27,14,76.2520696
03-27,15,75.32909476
03-27,16,72.81382184
03-27,17,71.04239273
03-27,18,74.99493236
03-27,19,80.71932545
03-27,20,81.51207694
03-27,21,78.80418337
03-27,22,75.17904792
03-27,23,73.99492177
03-28,0,71.24654107
03-28,1,67.91054886
03-28,2,62.68749862
03-28,3,60.87591002
03-28,4,59.59397687
03-28,5,59.74725414
03-28,6,63.26751068
03-28,7,67.4937866
03-28,8,70.50880916
03-28,9,72.44799382
03-28,10,72.59559555
03-28,11,72.64676247
03-28,12,72.69733868
03-28,13,74.6395089
03-28,14,75.92984328
03-28,15,75.0818785
03-28,16,72.60780829
03-28,17,70.67473779
03-28,18,74.6124867
03-28,19,80.44358424
03-28,20,81.17717287
03-28,21,78.380535
03-28,22,74.81139298
03-28,23,73.6230409
03-29,0,71.16413565
03-29,1,67.62741229
03-29,2,62.31139183
03-29,3,60.74490653
03-29,4,59.404867
03-29,5,59.51694156
03-29,6,63.10586928
03-29,7,67.33425816
03-29,8,70.33765944
03-29,9,72.31276441
03-29,10,72.57974835
03-29,11,72.79361316
03-29,12,72.85475416
03-29,13,74.69233289
03-29,14,75.83898602
03-29,15,74.64343941
03-29,16,72.19261175
03-29,17,70.87335598
03-29,18,75.0709989
03-29,19,80.89787052
03-29,20,81.78359224
03-29,21,79.07569866
03-29,22,75.48014465
03-29,23,73.79102118
03-30,0,71.08701263
03-30,1,67.37491363
03-30,2,62.16876707
03-30,3,61.08298005
03-30,4,60.10003066
03-30,5,60.5258797
03-30,6,63.29814859
03-30,7,67.60682993
03-30,8,70.36724087
03-30,9,72.18598684
03-30,10,72.61566866
03-30,11,73.44440467
03-30,12,73.04914643
03-30,13,75.12337662
03-30,14,76.09782356
03-30,15,74.75542627
03-30,16,72.00667132
03-30,17,70.74657841
03-30,18,74.04198764
03-30,19,79.2360279
03-30,20,80.84226879
03-30,21,78.87391103
03-30,22,75.31533381
03-30,23,72.87610973
03-31,0,67.58795175
03-31,1,63.36029064
03-31,2,57.80022337
03-31,3,55.5438568
03-31,4,54.60422308
03-31,5,54.69516805
03-31,6,55.88588678
03-31,7,57.39278386
03-31,8,60.64974027
03-31,9,63.51123174
03-31,10,64.9921109
03-31,11,66.89739976
03-31,12,70.21144186
03-31,13,72.00253549
03-31,14,72.86922149
03-31,15,71.34827912
03-31,16,68.53296595
03-31,17,66.01671864
03-31,18,67.9186311
03-31,19,72.7714284
03-31,20,75.87998348
03-31,21,74.53706172
03-31,22,71.59229922
03-31,23,68.71569253
04-01,0,64.98055977
04-01,1,60.33558916
04-01,2,55.08823989
04-01,3,52.69136152
04-01,4,51.00374015
04-01,5,50.48192687
04-01,6,50.63835194
04-01,7,51.52932133
04-01,8,54.94580619
04-01,9,58.37674023
04-01,10,60.79471691
04-01,11,62.5003311
04-01,12,65.94854613
04-01,13,67.93403203
04-01,14,70.28507206
04-01,15,70.35307521
04-01,16,68.31850057
04-01,17,65.68287104
04-01,18,65.11579036
04-01,19,68.36379495
04-01,20,73.44057177
04-01,21,72.44311889
04-01,22,68.33200276
04-01,23,66.6059025
04-02,0,63.28807923
04-02,1,58.8892684
04-02,2,52.99641001
04-02,3,50.49705311
04-02,4,49.00382401
04-02,5,48.34149893
04-02,6,48.55708686
04-02,7,50.138994
04-02,8,54.29501467
04-02,9,57.867517
04-02,10,60.08793197
04-02,11,60.97688732
04-02,12,64.21063697
04-02,13,67.08462232
04-02,14,69.76422755
04-02,15,69.69911426
04-02,16,67.31907074
04-02,17,64.67921529
04-02,18,64.63192264
04-02,19,68.6585528
04-02,20,72.08510827
04-02,21,71.48383529
04-02,22,67.42131723
04-02,23,65.8346723
04-03,0,65.96308592
04-03,1,62.2361962
04-03,2,56.79868058
04-03,3,54.90996896
04-03,4,53.98723892
04-03,5,55.25827175
04-03,6,60.60201231
04-03,7,66.10557223
04-03,8,69.60340602
04-03,9,71.8130495
04-03,10,72.28499051
04-03,11,72.00759223
04-03,12,73.12943889
04-03,13,76.85177747
04-03,14,79.51659198
04-03,15,79.15566436
04-03,16,76.55059066
04-03,17,73.44799709
04-03,18,74.18778184
04-03,19,78.47324953
04-03,20,80.15555696
04-03,21,77.8227137
04-03,22,73.24569001
04-03,23,71.87034102
04-04,0,68.30635797
04-04,1,64.41360094
04-04,2,59.01094914
04-04,3,57.19724759
04-04,4,56.22908891
04-04,5,56.97293836
04-04,6,61.71342899
04-04,7,67.00463648
04-04,8,70.29645673
04-04,9,72.14584061
04-04,10,72.32830618
04-04,11,72.14704756
04-04,12,73.07027602
04-04,13,76.69541847
04-04,14,79.65816026
04-04,15,79.50535915
04-04,16,76.99325567
04-04,17,73.94348609
04-04,18,74.49310449
04-04,19,78.1309501
04-04,20,79.57977551
04-04,21,77.52372993
04-04,22,72.92980257
04-04,23,71.17412088
04-05,0,67.8932744
04-05,1,63.94346745
04-05,2,58.58413133
04-05,3,56.5707551
04-05,4,55.84453029
04-05,5,56.60105749
04-05,6,61.42817946
04-05,7,66.72149991
04-05,8,69.99852944
04-05,9,71.8130495
04-05,10,72.02720945
04-05,11,71.95159881
04-05,12,72.9044087
04-05,13,76.37107919
04-05,14,79.3697413
04-05,15,78.87992315
04-05,16,76.30548736
04-05,17,73.33917968
04-05,18,74.33885845
04-05,19,78.06122243
04-05,20,79.51849968
04-05,21,77.50893922
04-05,22,72.88965634
04-05,23,70.68180132
04-06,0,67.51399817
04-06,1,63.78393901
04-06,2,58.20908103
04-06,3,56.47989785
04-06,4,55.41348656
04-06,5,56.0950037
04-06,6,60.69181309
04-06,7,65.78545887
04-06,8,69.20616964
04-06,9,71.06823128
04-06,10,71.25703573
04-06,11,71.86074155
04-06,12,72.07084619
04-06,13,75.53540372
04-06,14,78.34389947
04-06,15,77.60792155
04-06,16,74.60349851
04-06,17,71.75657303
04-06,18,72.61362704
04-06,19,75.97678792
04-06,20,78.07323541
04-06,21,76.634174
04-06,22,72.24097778
04-06,23,69.12455019
04-07,0,64.51042629
04-07,1,60.02815356
04-07,2,54.27052457
04-07,3,51.88104156
04-07,4,50.87168018
04-07,5,51.21723676
04-07,6,52.00860615
04-07,7,54.04057366
04-07,8,58.24624888
04-07,9,61.68986068
04-07,10,63.46655416
04-07,11,65.22604882
04-07,12,69.44126813
04-07,13,72.05430299
04-07,14,74.47824012
04-07,15,73.8933388
04-07,16,71.6950098
04-07,17,68.96112766
04-07,18,67.9291959
04-07,19,70.48414978
04-07,20,72.98205957
04-07,21,71.51764264
04-07,22,68.07210875
04-07,23,66.83198917
04-08,0,63.19299606
04-08,1,58.57232448
04-08,2,52.97528042
04-08,3,50.57945853
